Representative,Committee,Rank,Congress,Last Name,First Name,Middle Initial,State,bioguideID
"Roe, David P., of Tennessee",Veterans’ Affairs.,,112,Roe,David,P,Tennessee,R000582
"Rogers, Harold of Kentucky","Appropriations, chair.",,112,Rogers,Harold,,Kentucky,R000395
"Rogers, Mike, of Alabama",Armed Services.,,112,Rogers,Mike,,Alabama,
"Rogers, Mike, of Alabama",Homeland Security.,,112,Rogers,Mike,,Alabama,
"Rogers, Mike, of Michigan","Permanent Select Committee on Intelligence, chair.",,112,Rogers,Mike,,Michigan,
"Rogers, Mike, of Michigan",Energy and Commerce.,,112,Rogers,Mike,,Michigan,
Rohrabacher,Foreign Affairs.,,112,Rohrabacher,,,,R000409
Rohrabacher,"Science, Space, and Technology.",,112,Rohrabacher,,,,R000409
Rokita,Budget.,,112,Rokita,,,,R000592
Rokita,Education and the Workforce.,,112,Rokita,,,,R000592
Rokita,House Administration.,,112,Rokita,,,,R000592
Rooney,Agriculture.,,112,Rooney,,,,R000583
Rooney,Armed Services.,,112,Rooney,,,,R000583
Rooney,Permanent Select Committee on Intelligence.,,112,Rooney,,,,R000583
Roskam,Ways and Means.,,112,Roskam,,,,R000580
Ros-Lehtinen,"Foreign Affairs, chair.",,112,Ros-Lehtinen,,,,R000435
"Ross, Dennis A., of Florida",Education and the Workforce.,,112,Ross,Dennis,A,Florida,R000593
"Ross, Dennis A., of Florida",Judiciary.,,112,Ross,Dennis,A,Florida,R000593
"Ross, Dennis A., of Florida",Oversight and Government Reform.,,112,Ross,Dennis,A,Florida,R000593
"Ross, Mike, of Arkansas",Energy and Commerce.,,112,Ross,Mike,,Arkansas,R000573
"Rothman, Steven R., of New Jersey",Appropriations.,,112,Rothman,Steven,R,New Jersey,R000462
Roybal-Allard,Appropriations.,,112,Roybal-Allard,,,,R000486
Royce,Financial Services.,,112,Royce,,,,R000487
Royce,Foreign Affairs.,,112,Royce,,,,R000487
Runyan,Armed Services.,,112,Runyan,,,,R000594
Runyan,Natural Resources.,,112,Runyan,,,,R000594
Runyan,Veterans’ Affairs.,,112,Runyan,,,,R000594
Ruppersberger,Armed Services.,,112,Ruppersberger,,,,R000576
Ruppersberger,Permanent Select Committee on Intelligence.,,112,Ruppersberger,,,,R000576
Rush,Energy and Commerce.,,112,Rush,,,,R000515
"Ryan, Paul, of Wisconsin","Budget, chair.",,112,Ryan,Paul,,Wisconsin,R000570
"Ryan, Paul, of Wisconsin",Ways and Means.,,112,Ryan,Paul,,Wisconsin,R000570
"Ryan, Tim, of Ohio",Armed Services.,,112,Ryan,Tim,,Ohio,R000577
"Ryan, Tim, of Ohio",Budget.,,112,Ryan,Tim,,Ohio,R000577
Sablan,Agriculture.,,112,Sablan,,,,S001177
Sablan,Natural Resources.,,112,Sablan,,,,S001177
"Sa´nchez, Linda T., of California",Ethics.,,112,Sánchez,Linda,T,California,S001156
"Sa´nchez, Linda T., of California",Judiciary.,,112,Sánchez,Linda,T,California,S001156
"Sa´nchez, Linda T., of California",Veterans’ Affairs.,,112,Sánchez,Linda,T,California,S001156
"Sanchez, Loretta, of California",Armed Services.,,112,Sanchez,Loretta,,California,S000030
"Sanchez, Loretta, of California",Homeland Security.,,112,Sanchez,Loretta,,California,S000030
"Sanchez, Loretta, of California",Joint Economic Committee.,,112,Sanchez,Loretta,,California,S000030
Sarbanes,Natural Resources.,,112,Sarbanes,,,,S001168
Sarbanes,"Science, Space, and Technology.",,112,Sarbanes,,,,S001168
Scalise,Energy and Commerce.,,112,Scalise,,,,S001176
Schakowsky,Energy and Commerce.,,112,Schakowsky,,,,S001145
Schakowsky,Permanent Select Committee on Intelligence.,,112,Schakowsky,,,,S001145
Schiff,Appropriations.,,112,Schiff,,,,S001150
Schiff,Permanent Select Committee on Intelligence.,,112,Schiff,,,,S001150
Schilling,Agriculture.,,112,Schilling,,,,S001182
Schilling,Armed Services.,,112,Schilling,,,,S001182
Schilling,Small Business.,,112,Schilling,,,,S001182
Schmidt,Agriculture.,,112,Schmidt,,,,S001164
Schmidt,Foreign Affairs.,,112,Schmidt,,,,S001164
Schmidt,Transportation and Infrastructure.,,112,Schmidt,,,,S001164
Schock,House Administration.,,112,Schock,,,,S001179
Schock,Ways and Means.,,112,Schock,,,,S001179
Schock,Joint Committee on Printing.,,112,Schock,,,,S001179
Schrader,Agriculture.,,112,Schrader,,,,S001180
Schrader,Small Business.,,112,Schrader,,,,S001180
Schwartz,Budget.,,112,Schwartz,,,,S001162
Schwartz,Foreign Affairs.,,112,Schwartz,,,,S001162
Schweikert,Financial Services.,,112,Schweikert,,,,S001183
"Scott, Austin, of Georgia",Agriculture.,,112,Scott,Austin,,Georgia,S001189
"Scott, Austin, of Georgia",Armed Services.,,112,Scott,Austin,,Georgia,S001189
"Scott, David, of Georgia",Agriculture.,,112,Scott,David,,Georgia,S001157
"Scott, David, of Georgia",Financial Services.,,112,Scott,David,,Georgia,S001157
"Scott, Robert C. ‘‘Bobby’’, of Virginia",Education and the Workforce.,,112,Scott,Robert,C,Virginia,S000185
"Scott, Robert C. ‘‘Bobby’’, of Virginia",Judiciary.,,112,Scott,Robert,C,Virginia,S000185
"Scott, Tim, of South Carolina",Rules.,,112,Scott,Tim,,South Carolina,S001184
