representative,party,transaction_date,ticker,type,industry,sector,price_date_unadjusted,price_date,purchase_price,purchase_price_plus_365
Doug Lamborn,Republican,11/8/2021,NTAP,sale_full,Electronic Components,Technology,11/8/2022,11/8/2022,91.88999939,69.44000244
Doug Lamborn,Republican,11/8/2021,NTAP,purchase,Electronic Components,Technology,11/8/2022,11/8/2022,91.88999939,69.44000244
Alan S. Lowenthal,Democrat,11/8/2021,SCI,sale_partial,Other Consumer Services,Consumer Services,11/8/2022,11/8/2022,65.86000061,71.94000244
Alan S. Lowenthal,Democrat,11/9/2021,SCI,sale_partial,Other Consumer Services,Consumer Services,11/9/2022,11/9/2022,66.20999908,70.08999634
Alan S. Lowenthal,Democrat,11/10/2021,SCI,sale_partial,Other Consumer Services,Consumer Services,11/10/2022,11/10/2022,66.98000336,71.30999756
Alan S. Lowenthal,Democrat,11/10/2021,SCI,sale_partial,Other Consumer Services,Consumer Services,11/10/2022,11/10/2022,66.98000336,71.30999756
Kim Schrier,Democrat,10/28/2021,ABT,sale_full,Major Pharmaceuticals,Health Care,10/28/2022,10/28/2022,127.7099991,99.48999786
Kim Schrier,Democrat,10/28/2021,GOOGL,sale_full,"Computer Software: Programming, Data Processing",Technology,10/28/2022,10/28/2022,145.848999,96.29000092
Kim Schrier,Democrat,10/28/2021,AAPL,purchase,Computer Manufacturing,Technology,10/28/2022,10/28/2022,152.5700073,155.7400055
Kim Schrier,Democrat,10/28/2021,BDX,sale_full,Medical/Dental Instruments,Health Care,10/28/2022,10/28/2022,232.8390198,235.2599945
Kim Schrier,Democrat,10/28/2021,BMY,sale_full,Major Pharmaceuticals,Health Care,10/28/2022,10/28/2022,57.13000107,76.83000183
Kim Schrier,Democrat,10/28/2021,BEP,sale_full,,,10/28/2022,10/28/2022,40.38999939,29.11000061
Kim Schrier,Democrat,10/28/2021,CSCO,sale_full,Computer Communications Equipment,Technology,10/28/2022,10/28/2022,56.24000168,45.63999939
Kim Schrier,Democrat,10/28/2021,CLF,sale_full,Precious Metals,Basic Industries,10/28/2022,10/28/2022,24.45000076,13.44999981
Kim Schrier,Democrat,10/28/2021,COST,sale_full,Department/Specialty Retail Stores,Consumer Services,10/28/2022,10/28/2022,490.5299988,510.8699951
Kim Schrier,Democrat,10/28/2021,CVS,sale_full,Medical/Nursing Services,Health Care,10/28/2022,10/28/2022,88.62000275,94.19000244
Kim Schrier,Democrat,10/28/2021,DCI,sale_full,Pollution Control Equipment,Industrials,10/28/2022,10/28/2022,60.04999924,57.34999847
Kim Schrier,Democrat,10/28/2021,EWBC,sale_full,Commercial Banks,Finance,10/28/2022,10/28/2022,80.11000061,71.63999939
Kim Schrier,Democrat,10/28/2021,ETN,sale_full,Industrial Machinery/Components,Technology,10/28/2022,10/28/2022,164.9600067,150.2799988
Kim Schrier,Democrat,10/28/2021,HON,sale_full,Aerospace,Capital Goods,10/28/2022,10/28/2022,218.4799957,204.9299927
Kim Schrier,Democrat,10/28/2021,IBM,sale_full,Computer Manufacturing,Technology,10/28/2022,10/28/2022,120.3059235,138.5099945
Kim Schrier,Democrat,10/28/2021,JPM,sale_full,Major Banks,Finance,10/28/2022,10/28/2022,170.3600006,126.0800018
Kim Schrier,Democrat,10/28/2021,LOW,sale_full,RETAIL: Building Materials,Consumer Services,10/28/2022,10/28/2022,231.7599945,198.7299957
Kim Schrier,Democrat,10/28/2021,LUMN,sale_full,Telecommunications Equipment,Telecommunications,10/28/2022,10/28/2022,11.85999966,7.340000153
Kim Schrier,Democrat,10/28/2021,MSB,sale_full,Metal Mining,Basic Materials,10/28/2022,10/28/2022,23.29999924,21.77000046
Kim Schrier,Democrat,10/28/2021,PYPL,sale_full,Business Services,Miscellaneous,10/28/2022,10/28/2022,236.8300018,86.25
Thomas Suozzi,Democrat,11/10/2021,CVS,sale_full,Medical/Nursing Services,Health Care,11/10/2022,11/10/2022,92.95999908,99.91000366
