representative,party,transaction_date,ticker,type,industry,sector,price_date_unadjusted,price_date,purchase_price,purchase_price_plus_365
Virginia Foxx,Republican,9/27/2021,BP,purchase,Integrated oil Companies,Energy,9/27/2022,9/27/2022,27.07999992,27.54999924
Virginia Foxx,Republican,9/13/2021,XOM,purchase,Integrated oil Companies,Energy,9/13/2022,9/13/2022,55.36999893,95.33000183
Virginia Foxx,Republican,9/10/2021,ILPT,purchase,Real Estate Investment Trusts,Real Estate,9/10/2022,9/12/2022,26.18000031,7.389999866
Virginia Foxx,Republican,9/28/2021,PM,purchase,Farming/Seeds/Milling,Consumer Non-Durables,9/28/2022,9/28/2022,98.41999817,87.34999847
Alan S. Lowenthal,Democrat,9/17/2021,BLK,sale_partial,Investment Bankers/Brokers/Service,Finance,9/17/2022,9/19/2022,876.6300049,634.7299805
Aston Donald McEachin,Democrat,12/1/2021,AXP,purchase,Finance: Consumer Services,Finance,12/1/2022,12/1/2022,150.0599976,157.5
Thomas Suozzi,Democrat,11/18/2021,AMD,sale_full,Semiconductors,Technology,11/18/2022,11/18/2022,155.0200043,73.56999969
Thomas Suozzi,Democrat,11/18/2021,AAPL,sale_full,Computer Manufacturing,Technology,11/18/2022,11/18/2022,157.8699951,151.2899933
Thomas Suozzi,Democrat,11/24/2021,MSFT,purchase,Computer Software: Prepackaged Software,Technology,11/24/2022,11/25/2022,337.9100037,247.4900055
Thomas Suozzi,Democrat,11/24/2021,MS,purchase,Investment Bankers/Brokers/Service,Finance,11/24/2022,11/25/2022,101.1200027,90.91000366
Thomas Suozzi,Democrat,11/16/2021,NEE,sale_full,Electric Utilities: Central,Public Utilities,11/16/2022,11/16/2022,86.98000336,84.31999969
Thomas Suozzi,Democrat,11/16/2021,SLVM,sale_full,Paper,Consumer Staples,11/16/2022,11/16/2022,33.09999847,48.56999969
Thomas Suozzi,Democrat,11/18/2021,CG,sale_full,Investment Managers,Finance,11/18/2022,11/18/2022,59.29999924,28.29000092
Virginia Foxx,Republican,10/13/2021,MO,purchase,Farming/Seeds/Milling,Consumer Non-Durables,10/13/2022,10/13/2022,47.91999817,45.88999939
Virginia Foxx,Republican,10/8/2021,GSK,purchase,Major Pharmaceuticals,Health Care,10/8/2022,10/10/2022,38.70999908,30.19000053
Virginia Foxx,Republican,10/7/2021,OLP,purchase,Real Estate Investment Trusts,Real Estate,10/7/2022,10/7/2022,31.56999969,20.86000061
Virginia Foxx,Republican,10/4/2021,PPL,purchase,Electric Utilities: Central,Public Utilities,10/4/2022,10/4/2022,28.29000092,26.65999985
Virginia Foxx,Republican,10/8/2021,VIASP,purchase,Power Generation,Utilities,10/8/2022,10/10/2022,25.45000076,23.55999947
Garret Graves,Republican,9/30/2022,COIN,purchase,EDP Services,Technology,9/30/2023,10/2/2023,64.48999786,75.30999756
Chris Jacobs,Republican,6/16/2022,ACAD,sale_full,Biotechnology: Pharmaceutical Preparations,Health Care,6/16/2023,6/16/2023,19.51000023,24.06999969
Chris Jacobs,Republican,6/21/2022,AGNC,purchase,Real Estate Investment Trusts,Real Estate,6/21/2023,6/21/2023,10.72000027,10.18000031
Chris Jacobs,Republican,6/16/2022,ALLK,purchase,Biotechnology: Pharmaceutical Preparations,Health Care,6/16/2023,6/16/2023,2.599999905,4.659999847
Chris Jacobs,Republican,6/16/2022,ASB,purchase,Major Banks,Finance,6/16/2023,6/16/2023,18.29000092,17.05999947
Chris Jacobs,Republican,6/16/2022,AXSM,purchase,Biotechnology: Pharmaceutical Preparations,Health Care,6/16/2023,6/16/2023,21.73999977,85
Chris Jacobs,Republican,6/16/2022,SQ,sale_full,Computer Software: Prepackaged Software,Technology,6/16/2023,6/16/2023,57.50999832,66.51000214
Chris Jacobs,Republican,6/21/2022,SAVA,purchase,Biotechnology: Pharmaceutical Preparations,Health Care,6/21/2023,6/21/2023,26.61000061,25.20999908
Chris Jacobs,Republican,6/21/2022,CIVI,purchase,Oil & Gas Production,Energy,6/21/2023,6/21/2023,62.56999969,65.58000183
Chris Jacobs,Republican,6/21/2022,CTRA,purchase,Oil & Gas Production,Energy,6/21/2023,6/21/2023,27.56999969,24.42000008
Chris Jacobs,Republican,6/16/2022,UUUU,sale_full,,,6/16/2023,6/16/2023,5.21999979,6.409999847
Chris Jacobs,Republican,6/16/2022,EXPE,sale_full,Other Consumer Services,Consumer Discretionary,6/16/2023,6/16/2023,96.33000183,105.8700027
Chris Jacobs,Republican,6/21/2022,FNB,purchase,Major Banks,Finance,6/21/2023,6/21/2023,10.90999985,11.5
Chris Jacobs,Republican,6/21/2022,FHN,purchase,Major Banks,Finance,6/21/2023,6/21/2023,21.5,11.60000038
Chris Jacobs,Republican,6/16/2022,GNK,purchase,Marine Transportation,Consumer Discretionary,6/16/2023,6/16/2023,20.32999992,14.35999966
Chris Jacobs,Republican,6/16/2022,GEVO,purchase,Biotechnology: Commercial Physical & Biological Resarch,Health Care,6/16/2023,6/16/2023,2.579999924,1.460000038
Chris Jacobs,Republican,6/16/2022,HD,sale_full,RETAIL: Building Materials,Consumer Services,6/16/2023,6/16/2023,273.4599915,300.3800049
Chris Jacobs,Republican,6/21/2022,IIPR,purchase,Real Estate Investment Trusts,Real Estate,6/21/2023,6/21/2023,108.5699997,74.05000305
Chris Jacobs,Republican,6/21/2022,KRG,purchase,Real Estate Investment Trusts,Real Estate,6/21/2023,6/21/2023,17.5,21.01000023
Chris Jacobs,Republican,6/16/2022,KOS,sale_full,Oil & Gas Production,Energy,6/16/2023,6/16/2023,6.989999771,6.210000038
Chris Jacobs,Republican,6/16/2022,MAC,purchase,Real Estate Investment Trusts,Real Estate,6/16/2023,6/16/2023,8.979999542,11.31999969
Chris Jacobs,Republican,6/16/2022,NBR,sale_partial,Oil & Gas Production,Energy,6/16/2023,6/16/2023,140.6799927,101.5500031
Chris Jacobs,Republican,6/16/2022,NAT,purchase,Marine Transportation,Consumer Discretionary,6/16/2023,6/16/2023,1.950000048,3.789999962
Chris Jacobs,Republican,6/21/2022,NWBI,purchase,Major Banks,Finance,6/21/2023,6/21/2023,12.56999969,11
Chris Jacobs,Republican,6/21/2022,OCFC,purchase,Savings Institutions,Finance,6/21/2023,6/21/2023,19.04999924,16.05999947
Chris Jacobs,Republican,6/16/2022,OCGN,purchase,Biotechnology: Pharmaceutical Preparations,Health Care,6/16/2023,6/16/2023,1.950000048,0.5139999986
Chris Jacobs,Republican,6/16/2022,PTEN,sale_full,Oil & Gas Production,Energy,6/16/2023,6/16/2023,15.93999958,11.71000004
Chris Jacobs,Republican,6/21/2022,DOC,purchase,Real Estate Investment Trusts,Real Estate,6/21/2023,6/21/2023,24.87999916,19.87000084
Chris Jacobs,Republican,6/16/2022,RC,purchase,Real Estate Investment Trusts,Real Estate,6/16/2023,6/16/2023,11.23999977,11.14000034
Chris Jacobs,Republican,6/16/2022,RC,purchase,Real Estate Investment Trusts,Real Estate,6/16/2023,6/16/2023,11.23999977,11.14000034
Chris Jacobs,Republican,6/16/2022,RWT,purchase,Real Estate Investment Trusts,Real Estate,6/16/2023,6/16/2023,6.769999981,6.46999979
Chris Jacobs,Republican,6/21/2022,SBRA,purchase,Real Estate Investment Trusts,Real Estate,6/21/2023,6/21/2023,13.82999992,11.72999954
Chris Jacobs,Republican,6/21/2022,STNG,purchase,,,6/21/2023,6/21/2023,37.34999847,44.77999878
Chris Jacobs,Republican,6/16/2022,TELL,sale_full,Oil & Gas Production,Energy,6/16/2023,6/16/2023,3.819999933,1.379999995
Chris Jacobs,Republican,6/21/2022,UBSI,purchase,Major Banks,Finance,6/21/2023,6/21/2023,34.95000076,30.52000046
Chris Jacobs,Republican,6/16/2022,UEC,sale_full,Other Metals and Minerals,Basic Materials,6/16/2023,6/16/2023,3.329999924,3.289999962
Alan S. Lowenthal,Democrat,2/4/2021,DD,sale_full,,,2/4/2022,2/4/2022,76.98000336,76.05999756
Alan S. Lowenthal,Democrat,3/15/2021,COLD,sale_full,Real Estate Investment Trusts,Real Estate,3/15/2022,3/15/2022,37.13000107,25.5
Alan S. Lowenthal,Democrat,3/15/2021,COLD,sale_full,Real Estate Investment Trusts,Real Estate,3/15/2022,3/15/2022,37.13000107,25.5
Alan S. Lowenthal,Democrat,3/11/2021,ADBE,purchase,Computer Software: Prepackaged Software,Technology,3/11/2022,3/11/2022,451.0599976,416.3800049
Alan S. Lowenthal,Democrat,3/12/2021,COLD,sale_partial,Real Estate Investment Trusts,Real Estate,3/12/2022,3/14/2022,35.66999817,25.12000084
Alan S. Lowenthal,Democrat,3/15/2021,COLD,sale_full,Real Estate Investment Trusts,Real Estate,3/15/2022,3/15/2022,37.13000107,25.5
Alan S. Lowenthal,Democrat,3/11/2021,NVDA,purchase,Semiconductors,Technology,3/11/2022,3/11/2022,12.99349976,22.10000038
Mo Brooks,Republican,1/22/2021,DUK,purchase,Power Generation,Public Utilities,1/22/2022,1/24/2022,90.29000092,102.5800018
Mo Brooks,Republican,1/22/2021,LEE,sale_full,Newspapers/Magazines,Consumer Discretionary,1/22/2022,1/24/2022,13.69999981,35.25999832
Mo Brooks,Republican,1/22/2021,LEE,sale_full,Newspapers/Magazines,Consumer Discretionary,1/22/2022,1/24/2022,13.69999981,35.25999832
Alan S. Lowenthal,Democrat,1/12/2021,GM,purchase,Auto Manufacturing,Capital Goods,1/12/2022,1/12/2022,47.81999969,61.02999878
Alan S. Lowenthal,Democrat,1/12/2021,GM,purchase,Auto Manufacturing,Capital Goods,1/12/2022,1/12/2022,47.81999969,61.02999878
Alan S. Lowenthal,Democrat,1/11/2021,GIS,sale_full,Packaged Foods,Consumer Non-Durables,1/11/2022,1/11/2022,55.56999969,68.52999878
Alan S. Lowenthal,Democrat,1/12/2021,GM,purchase,Auto Manufacturing,Capital Goods,1/12/2022,1/12/2022,47.81999969,61.02999878
Alan S. Lowenthal,Democrat,1/11/2021,TMUS,purchase,Telecommunications Equipment,Public Utilities,1/11/2022,1/11/2022,132.9299927,110.9700012
Lois Frankel,Democrat,1/21/2021,CI,sale_partial,Medical Specialities,Health Care,1/21/2022,1/21/2022,226.1900024,236.25
Lois Frankel,Democrat,2/10/2021,CL,purchase,Package Goods/Cosmetics,Consumer Non-Durables,2/10/2022,2/10/2022,79.11000061,79.72000122
Lois Frankel,Democrat,1/28/2021,CL,purchase,Package Goods/Cosmetics,Consumer Non-Durables,1/28/2022,1/28/2022,79.15000153,83.05000305
Lois Frankel,Democrat,1/28/2021,PPG,sale_partial,Paints/Coatings,Basic Industries,1/28/2022,1/28/2022,139.1399994,154.8300018
Lois Frankel,Democrat,2/10/2021,TRV,sale_partial,Property-Casualty Insurers,Finance,2/10/2022,2/10/2022,145.9299927,172.4299927
Michael T. McCaul,Republican,1/14/2021,FMS,purchase,Medical/Nursing Services,Health Care,1/14/2022,1/14/2022,41.75,33.79999924
Michael T. McCaul,Republican,1/14/2021,ACGL,purchase,Property-Casualty Insurers,Finance,1/14/2022,1/14/2022,35.22000122,47.40999985
Michael T. McCaul,Republican,1/13/2021,ACGL,purchase,Property-Casualty Insurers,Finance,1/13/2022,1/13/2022,35.61000061,46.74000168
Michael T. McCaul,Republican,1/14/2021,BKNG,sale_full,Transportation Services,Consumer Services,1/14/2022,1/14/2022,2182.590088,2450.949951
Michael T. McCaul,Republican,1/12/2021,CB,sale_full,Property-Casualty Insurers,Finance,1/12/2022,1/12/2022,156.6100006,197.8200073
Michael T. McCaul,Republican,1/27/2021,HON,sale_full,Aerospace,Capital Goods,1/27/2022,1/27/2022,199.3800049,200.6499939
Michael T. McCaul,Republican,1/25/2021,PCAR,sale_full,Auto Manufacturing,Capital Goods,1/25/2022,1/25/2022,65.29333496,62.6333313
Michael T. McCaul,Republican,1/6/2021,PAG,sale_full,Other Specialty Stores,Consumer Discretionary,1/6/2022,1/6/2022,61.27999878,107.0800018
Michael T. McCaul,Republican,1/12/2021,ACN,sale_full,Business Services,Miscellaneous,1/12/2022,1/12/2022,258.3999939,377.1900024
Michael T. McCaul,Republican,1/20/2021,C,purchase,Major Banks,Finance,1/20/2022,1/20/2022,63.25,64.45999908
Michael T. McCaul,Republican,1/20/2021,NFG,purchase,Oil & Gas Production,Energy,1/20/2022,1/20/2022,42.66999817,60.36000061
Michael T. McCaul,Republican,1/19/2021,NFG,purchase,Oil & Gas Production,Energy,1/19/2022,1/19/2022,42.83000183,61.25999832
Michael T. McCaul,Republican,1/21/2021,NFG,purchase,Oil & Gas Production,Energy,1/21/2022,1/21/2022,41.50999832,59.13000107
Michael T. McCaul,Republican,1/29/2021,LUMN,sale_full,Telecommunications Equipment,Telecommunications,1/29/2022,1/31/2022,12.38000011,12.35999966
Michael T. McCaul,Republican,1/4/2021,BKR,sale_full,,,1/4/2022,1/4/2022,21.02000046,25.59000015
Michael T. McCaul,Republican,1/19/2021,SWK,sale_full,Diversified Manufacture,Consumer Discretionary,1/19/2022,1/19/2022,176.5599976,182.1799927
Michael T. McCaul,Republican,1/20/2021,MS,sale_full,Investment Bankers/Brokers/Service,Finance,1/20/2022,1/20/2022,74.83999634,99.83000183
Michael T. McCaul,Republican,1/14/2021,FMS,purchase,Medical/Nursing Services,Health Care,1/14/2022,1/14/2022,41.75,33.79999924
Michael T. McCaul,Republican,1/14/2021,ACGL,purchase,Property-Casualty Insurers,Finance,1/14/2022,1/14/2022,35.22000122,47.40999985
Michael T. McCaul,Republican,1/13/2021,ACGL,purchase,Property-Casualty Insurers,Finance,1/13/2022,1/13/2022,35.61000061,46.74000168
Michael T. McCaul,Republican,1/14/2021,BKNG,sale_full,Transportation Services,Consumer Services,1/14/2022,1/14/2022,2182.590088,2450.949951
Michael T. McCaul,Republican,1/12/2021,CB,sale_full,Property-Casualty Insurers,Finance,1/12/2022,1/12/2022,156.6100006,197.8200073
Michael T. McCaul,Republican,1/27/2021,HON,sale_full,Aerospace,Capital Goods,1/27/2022,1/27/2022,199.3800049,200.6499939
Michael T. McCaul,Republican,1/25/2021,PCAR,sale_full,Auto Manufacturing,Capital Goods,1/25/2022,1/25/2022,65.29333496,62.6333313
Michael T. McCaul,Republican,1/6/2021,PAG,sale_full,Other Specialty Stores,Consumer Discretionary,1/6/2022,1/6/2022,61.27999878,107.0800018
Michael T. McCaul,Republican,1/12/2021,ACN,sale_full,Business Services,Miscellaneous,1/12/2022,1/12/2022,258.3999939,377.1900024
Michael T. McCaul,Republican,1/20/2021,C,purchase,Major Banks,Finance,1/20/2022,1/20/2022,63.25,64.45999908
Michael T. McCaul,Republican,1/20/2021,NFG,purchase,Oil & Gas Production,Energy,1/20/2022,1/20/2022,42.66999817,60.36000061
Michael T. McCaul,Republican,1/19/2021,NFG,purchase,Oil & Gas Production,Energy,1/19/2022,1/19/2022,42.83000183,61.25999832
Michael T. McCaul,Republican,1/21/2021,NFG,purchase,Oil & Gas Production,Energy,1/21/2022,1/21/2022,41.50999832,59.13000107
Michael T. McCaul,Republican,1/29/2021,LUMN,sale_full,Telecommunications Equipment,Telecommunications,1/29/2022,1/31/2022,12.38000011,12.35999966
Michael T. McCaul,Republican,1/4/2021,BKR,sale_full,,,1/4/2022,1/4/2022,21.02000046,25.59000015
Michael T. McCaul,Republican,1/19/2021,SWK,sale_full,Diversified Manufacture,Consumer Discretionary,1/19/2022,1/19/2022,176.5599976,182.1799927
Michael T. McCaul,Republican,1/20/2021,MS,sale_full,Investment Bankers/Brokers/Service,Finance,1/20/2022,1/20/2022,74.83999634,99.83000183
Michael T. McCaul,Republican,1/13/2021,GBTC,purchase,,,1/13/2022,1/13/2022,40.34999847,30.5
Michael C. Burgess,Republican,12/30/2022,SYK,sale_full,Medical/Dental Instruments,Health Care,12/30/2023,1/2/2024,244.4900055,296.230011
John Curtis,Republican,11/8/2021,CAT,purchase,Construction/Ag Equipment/Trucks,Capital Goods,11/8/2022,11/8/2022,214.25,229.8099976
John Curtis,Republican,11/8/2021,GPN,sale_full,Business Services,Consumer Discretionary,11/8/2022,11/8/2022,134.5899963,99.94000244
John Curtis,Republican,11/8/2021,HON,sale_partial,Aerospace,Capital Goods,11/8/2022,11/8/2022,225.7299957,211.3600006
John Curtis,Republican,11/8/2021,KLAC,purchase,Electronic Components,Capital Goods,11/8/2022,11/8/2022,412.8399963,342.1300049
John Curtis,Republican,11/8/2021,LMT,sale_full,Military/Government/Technical,Capital Goods,11/8/2022,11/8/2022,341.7799988,494.1199951
John Curtis,Republican,11/8/2021,ULTA,purchase,,,11/8/2022,11/8/2022,388.1099854,423.1199951
John Curtis,Republican,11/8/2021,V,purchase,Business Services,Miscellaneous,11/8/2022,11/8/2022,220.4900055,201.7799988
Trey Hollingsworth,Republican,11/2/2021,EPD,purchase,Natural Gas Distribution,Public Utilities,11/2/2022,11/2/2022,22.19000053,24.79999924
Anthony E. Gonzalez,Republican,3/25/2021,GDRX,purchase,Retail: Computer Software & Peripheral Equipment,Technology,3/25/2022,3/25/2022,36.52000046,17.12999916
Anthony E. Gonzalez,Republican,3/25/2021,NKE,sale_full,Shoe Manufacturing,Consumer Non-Durables,3/25/2022,3/25/2022,128.6399994,133.6999969
Lois Frankel,Democrat,4/7/2021,CL,purchase,Package Goods/Cosmetics,Consumer Non-Durables,4/7/2022,4/7/2022,79.62000275,80.41999817
Lois Frankel,Democrat,4/14/2021,GS,sale_partial,Investment Bankers/Brokers/Service,Finance,4/14/2022,4/14/2022,335.3500061,321.6400146
Lois Frankel,Democrat,4/26/2021,GS,sale_partial,Investment Bankers/Brokers/Service,Finance,4/26/2022,4/26/2022,343.519989,313.1199951
Lois Frankel,Democrat,3/16/2021,HES,sale_full,Oil & Gas Production,Energy,3/16/2022,3/16/2022,69.01000214,94.75
Lois Frankel,Democrat,4/14/2021,MS,purchase,Investment Bankers/Brokers/Service,Finance,4/14/2022,4/14/2022,80.79000092,84.76000214
Lois Frankel,Democrat,3/26/2021,MS,purchase,Investment Bankers/Brokers/Service,Finance,3/26/2022,3/28/2022,79.98000336,91.26999664
Lois Frankel,Democrat,3/19/2021,NI,sale_full,Power Generation,Utilities,3/19/2022,3/21/2022,23.69000053,30.36000061
Lois Frankel,Democrat,4/8/2021,PPG,sale_partial,Paints/Coatings,Basic Industries,4/8/2022,4/8/2022,148.0500031,132.5299988
Lois Frankel,Democrat,3/24/2021,PGR,purchase,Property-Casualty Insurers,Finance,3/24/2022,3/24/2022,92.48999786,114.0999985
Lois Frankel,Democrat,3/17/2021,PGR,purchase,Property-Casualty Insurers,Finance,3/17/2022,3/17/2022,91.09999847,109.5199966
Lois Frankel,Democrat,3/17/2021,SON,sale_partial,Containers/Packaging,Industrials,3/17/2022,3/17/2022,63.13000107,58.41999817
Lois Frankel,Democrat,3/16/2021,SON,exchange,Containers/Packaging,Industrials,3/16/2022,3/16/2022,62.77999878,57.90000153
Lois Frankel,Democrat,3/18/2021,TRV,sale_partial,Property-Casualty Insurers,Finance,3/18/2022,3/18/2022,156.8300018,180.3099976
William R. Keating,Democrat,6/10/2021,ADBE,purchase,Computer Software: Prepackaged Software,Technology,6/10/2022,6/10/2022,535.5200195,393.8399963
William R. Keating,Democrat,6/10/2021,VRSN,sale_full,EDP Services,Technology,6/10/2022,6/10/2022,220.9700012,169.1000061
Raúl M. Grijalva,Democrat,11/24/2021,CBOE,purchase,,,11/24/2022,11/25/2022,130.9600067,125.8499985
Lois Frankel,Democrat,4/23/2021,CARG,purchase,Interactive Media,Technology,4/23/2022,4/25/2022,25.45000076,36.52000046
Lois Frankel,Democrat,4/21/2021,CARG,sale_full,Interactive Media,Technology,4/21/2022,4/21/2022,24.76000023,35.33000183
Lois Frankel,Democrat,5/7/2021,HAE,sale_full,Medical/Dental Instruments,Health Care,5/7/2022,5/9/2022,61.04000092,49.27000046
Lois Frankel,Democrat,5/6/2021,HAE,sale_partial,Medical/Dental Instruments,Health Care,5/6/2022,5/6/2022,61.43999863,51.88000107
Lois Frankel,Democrat,5/5/2021,MDT,sale_partial,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,5/5/2022,5/5/2022,127,104.5500031
Lois Frankel,Democrat,4/21/2021,MS,purchase,Investment Bankers/Brokers/Service,Finance,4/21/2022,4/21/2022,79.25,88.91000366
Lois Frankel,Democrat,5/5/2021,TMO,purchase,Industrial Machinery/Components,Capital Goods,5/5/2022,5/5/2022,467.769989,550.5100098
Katherine M. Clark,Democrat,2/8/2021,GOOGL,sale_full,"Computer Software: Programming, Data Processing",Technology,2/8/2022,2/8/2022,104.2259979,139.3990021
Katherine M. Clark,Democrat,2/8/2021,CLNE,purchase,Natural Gas Distribution,Utilities,2/8/2022,2/8/2022,17.87000084,6.340000153
Katherine M. Clark,Democrat,2/8/2021,CLNE,purchase,Natural Gas Distribution,Utilities,2/8/2022,2/8/2022,17.87000084,6.340000153
Katherine M. Clark,Democrat,2/8/2021,CCEP,sale_full,Beverages (Production/Distribution),Consumer Staples,2/8/2022,2/8/2022,50.81000137,57.72000122
Katherine M. Clark,Democrat,2/8/2021,CCEP,sale_full,Beverages (Production/Distribution),Consumer Staples,2/8/2022,2/8/2022,50.81000137,57.72000122
Katherine M. Clark,Democrat,2/8/2021,HD,sale_full,RETAIL: Building Materials,Consumer Services,2/8/2022,2/8/2022,280.0299988,361.4400024
Katherine M. Clark,Democrat,2/8/2021,HD,sale_full,RETAIL: Building Materials,Consumer Services,2/8/2022,2/8/2022,280.0299988,361.4400024
Katherine M. Clark,Democrat,2/8/2021,SPG,purchase,Real Estate Investment Trusts,Consumer Services,2/8/2022,2/8/2022,98.94000244,142.0399933
Katherine M. Clark,Democrat,2/8/2021,SPG,purchase,Real Estate Investment Trusts,Consumer Services,2/8/2022,2/8/2022,98.94000244,142.0399933
Katherine M. Clark,Democrat,2/8/2021,STT,sale_full,Major Banks,Finance,2/8/2022,2/8/2022,76.06999969,101.8499985
Katherine M. Clark,Democrat,2/8/2021,TSM,sale_full,Semiconductors,Technology,2/8/2022,2/8/2022,132.5500031,123.7099991
Katherine M. Clark,Democrat,2/8/2021,TSM,sale_full,Semiconductors,Technology,2/8/2022,2/8/2022,132.5500031,123.7099991
Josh Gottheimer,Democrat,1/28/2022,ABBV,purchase,Major Pharmaceuticals,Health Care,1/28/2023,1/30/2023,137.9199982,145.6499939
Josh Gottheimer,Democrat,1/31/2022,AMD,sale_partial,Semiconductors,Technology,1/31/2023,1/31/2023,114.25,75.15000153
Josh Gottheimer,Democrat,1/26/2022,AMD,sale_partial,Semiconductors,Technology,1/26/2023,1/26/2023,110.7099991,75.16000366
Josh Gottheimer,Democrat,1/31/2022,ALGN,sale_partial,Industrial Specialties,Health Care,1/31/2023,1/31/2023,494.9599915,269.730011
Josh Gottheimer,Democrat,1/26/2022,ASML,sale_partial,Industrial Machinery/Components,Technology,1/26/2023,1/26/2023,653.2600098,683.9000244
Josh Gottheimer,Democrat,1/10/2022,BIIB,purchase,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,1/10/2023,1/10/2023,235.3099976,281.4599915
Josh Gottheimer,Democrat,1/31/2022,BOOT,sale_partial,Clothing/Shoe/Accessory Stores,Consumer Discretionary,1/31/2023,1/31/2023,91.97000122,83.48999786
Josh Gottheimer,Democrat,1/10/2022,COF,purchase,Major Banks,Finance,1/10/2023,1/10/2023,157.1499939,98.5
Josh Gottheimer,Democrat,1/31/2022,KO,purchase,Beverages (Production/Distribution),Consumer Non-Durables,1/31/2023,1/31/2023,61.00999832,61.31999969
Josh Gottheimer,Democrat,1/26/2022,EL,sale_partial,Package Goods/Cosmetics,Consumer Non-Durables,1/26/2023,1/26/2023,292.5700073,273.2200012
Josh Gottheimer,Democrat,1/25/2022,FIS,purchase,Business Services,Miscellaneous,1/25/2023,1/25/2023,110.1999969,74.22000122
Josh Gottheimer,Democrat,1/26/2022,FIS,purchase,Business Services,Miscellaneous,1/26/2023,1/26/2023,108.9899979,74.88999939
Josh Gottheimer,Democrat,1/26/2022,BEN,sale_full,Investment Managers,Finance,1/26/2023,1/26/2023,31.73999977,30.29000092
Josh Gottheimer,Democrat,1/18/2022,BEN,sale_partial,Investment Managers,Finance,1/18/2023,1/18/2023,34.25999832,29.90999985
Josh Gottheimer,Democrat,1/28/2022,FCX,sale_partial,Precious Metals,Basic Industries,1/28/2023,1/30/2023,36.04000092,43.97999954
Josh Gottheimer,Democrat,1/10/2022,HQY,purchase,Managed Health Care,Health Care,1/10/2023,1/10/2023,49.52000046,57.47999954
Josh Gottheimer,Democrat,1/26/2022,ISRG,sale_partial,Industrial Specialties,Health Care,1/26/2023,1/26/2023,264.4599915,250.5500031
Josh Gottheimer,Democrat,1/26/2022,LRCX,sale_partial,Industrial Machinery/Components,Technology,1/26/2023,1/26/2023,59.66699982,49.77500153
Josh Gottheimer,Democrat,1/26/2022,LRCX,sale_partial,Industrial Machinery/Components,Technology,1/26/2023,1/26/2023,59.66699982,49.77500153
Josh Gottheimer,Democrat,1/18/2022,MTCH,sale_partial,"Computer Software: Programming, Data Processing",Technology,1/18/2023,1/18/2023,115.8700027,47.20999908
Josh Gottheimer,Democrat,1/25/2022,MSFT,purchase,Computer Software: Prepackaged Software,Technology,1/25/2023,1/25/2023,288.4899902,240.6100006
Josh Gottheimer,Democrat,1/28/2022,NFLX,sale_partial,Consumer Electronics/Video Chains,Consumer Services,1/28/2023,1/30/2023,384.3599854,353.1099854
Josh Gottheimer,Democrat,1/10/2022,NCLTY,purchase,,,1/10/2023,1/10/2023,15.28999996,12.5
Josh Gottheimer,Democrat,1/26/2022,NVDA,sale_partial,Semiconductors,Technology,1/26/2023,1/26/2023,22.77199936,19.80200005
Josh Gottheimer,Democrat,1/31/2022,NVDA,sale_partial,Semiconductors,Technology,1/31/2023,1/31/2023,24.48600006,19.53700066
Josh Gottheimer,Democrat,1/10/2022,OLLI,purchase,Department/Specialty Retail Stores,Consumer Discretionary,1/10/2023,1/10/2023,48.36999893,51.38000107
Josh Gottheimer,Democrat,1/24/2022,ORCL,purchase,Computer Software: Prepackaged Software,Technology,1/24/2023,1/24/2023,82.41999817,89.69999695
Josh Gottheimer,Democrat,1/20/2022,PATK,sale_partial,Wholesale Distributors,Consumer Discretionary,1/20/2023,1/20/2023,65.94000244,65.08999634
Josh Gottheimer,Democrat,1/12/2022,PYPL,sale_partial,Business Services,Miscellaneous,1/12/2023,1/12/2023,187.1999969,79.77999878
Josh Gottheimer,Democrat,1/10/2022,CSPCY,purchase,,,1/10/2023,1/10/2023,4.789999962,4.400000095
Josh Gottheimer,Democrat,1/28/2022,PNGAY,purchase,,,1/28/2023,1/30/2023,15.64000034,15.63000011
Josh Gottheimer,Democrat,1/26/2022,TSLA,sale_partial,Auto Manufacturing,Capital Goods,1/26/2023,1/26/2023,312.4700012,160.2700043
Josh Gottheimer,Democrat,1/31/2022,TSLA,sale_partial,Auto Manufacturing,Capital Goods,1/31/2023,1/31/2023,312.2399902,173.2200012
Josh Gottheimer,Democrat,1/10/2022,VZ,purchase,Telecommunications Equipment,Public Utilities,1/10/2023,1/10/2023,53.86999893,41.95000076
Alan S. Lowenthal,Democrat,2/9/2022,SPGI,purchase,Finance: Consumer Services,Finance,2/9/2023,2/9/2023,407.2900085,363.6499939
Pete Sessions,Republican,2/23/2022,AAPL,purchase,Computer Manufacturing,Technology,2/23/2023,2/23/2023,160.0700073,149.3999939
Pete Sessions,Republican,2/23/2022,MSFT,purchase,Computer Software: Prepackaged Software,Technology,2/23/2023,2/23/2023,280.269989,254.7700043
John Curtis,Republican,2/2/2021,AMZN,sale_full,Catalog/Specialty Distribution,Consumer Services,2/2/2022,2/2/2022,169,150.6125031
John Curtis,Republican,2/2/2021,DOMO,sale_full,Computer Software: Prepackaged Software,Technology,2/2/2022,2/2/2022,69.81999969,45.90000153
