Symbol,Name,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,950947,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,1785157,Industrials,Aluminum
AACG,ATA Creativity Global American Depositary Shares,China,2008,24438,Real Estate,Other Consumer Services
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,2023,95056,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,United States,,44392,Health Care,Biotechnology: Pharmaceutical Preparations
AAL,American Airlines Group Inc. Common Stock,United States,,9494964,Consumer Discretionary,Air Freight/Delivery Services
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,,2024,28656,,
AAME,Atlantic American Corporation Common Stock,United States,,1896,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,3852000,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,169696,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,2812631,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,United States,1980,28388267,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,183949,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,134112,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,United States,,337779,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,United States,2012,2710588,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,269581,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,2439697,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,165061,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,2013,29055618,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,66042,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,224002,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,609,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,United States,2020,135459,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,China,,20244,Consumer Discretionary,Other Consumer Services
ABLVW,Able View Global Inc. Warrant,China,,7,Consumer Discretionary,Other Consumer Services
ABM,ABM Industries Incorporated Common Stock,United States,,169864,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,2662215,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,99003,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABP,Abpro Holdings Inc Common Stock,United States,2022,9625,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,United States,2004,1099463,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,14435,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,6944,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,115856,,
ABSI,Absci Corporation Common Stock,United States,2021,488418,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,United States,,2523175,Health Care,Biotechnology: Pharmaceutical Preparations
ABTS,Abits Group Inc Ordinary Shares,China,,46487,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,314346,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,United States,,46433,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,Canada,,399370,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,Canada,,261481,Consumer Staples,Packaged Foods
ABVX,Abivax SA American Depositary Shares,France,2023,56118,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,United States,2015,5788,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,United States,2018,125076,Industrials,Metal Fabrications
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,542647,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,Canada,,223822,Health Care, Medicinal Chemicals and Botanical Products 
ACCD,Accolade Inc. Common Stock,United States,2020,550398,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation Common Stock,United States,,262205,Consumer Discretionary,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,United States,2022,243581,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,United States,2017,106510,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACET,Adicet Bio Inc. Common Stock ,United States,2018,616992,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,797219,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,,55672,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,39427,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,457921,Health Care,Medical Specialities
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom,2021,22605,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,United States,2020,60290287,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,44826,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,1805102,Consumer Staples,Food Chains
ACIC,American Coastal Insurance Corporation Common Stock,United States,,92588,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,Switzerland,2016,45752,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,United States,,317862,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,257626,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,2022,219462,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,AECOM Common Stock,United States,2007,422321,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,984031,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,1311237,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,United States,,4621,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,United States,,9657,Industrials,Steel/Iron Ore
ACOG,Alpha Cognition Inc. Common Stock,Canada,,17197,,
ACON,Aclarion Inc. Common Stock,United States,2022,123462,Health Care,Medical Specialities
ACONW,Aclarion Inc. Warrant,United States,2022,131,Health Care,Medical Specialities
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,2011,567714,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,United States,,865,,
ACR,ACRES Commercial Realty Corp. Common Stock,United States,,5162,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,11320,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,United States,,954,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,179189,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,1007940,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,United States,2022,20198,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,United States,2021,166525,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,129353,Miscellaneous,Multi-Sector Companies
ACTU,Actuate Therapeutics Inc. Common stock,United States,2024,19063,Health Care,Biotechnology: Pharmaceutical Preparations
ACU,Acme United Corporation. Common Stock,United States,1988,16494,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,21018,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021,569768,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,2021,148217,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,China,2021,2001,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,2015,220385,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,United States,1986,1383553,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,,519145,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,United States,,7629,,
ADCT,ADC Therapeutics SA Common Shares,Switzerland,2020,240801,Health Care,Biotechnology: Pharmaceutical Preparations
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,United States,,29802,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,United States,2003,247205,Technology,Computer Software: Prepackaged Software
ADGM,Adagio Medical Holdings Inc Common Stock,United States,,11537,Health Care,Medical/Dental Instruments
ADI,Analog Devices Inc. Common Stock,United States,,1992466,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,132547,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,United States,,1810556,Consumer Staples,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,United States,,3999629,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,45926,Miscellaneous,Industrial Machinery/Components
ADNT,Adient plc Ordinary Shares ,United States,2016,532856,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,8067,Miscellaneous,Industrial Machinery/Components
ADP,Automatic Data Processing Inc. Common Stock,United States,,805040,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,660525,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Ireland,,250518,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,Ireland,,49743,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,United States,,1317669,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,United States,2018,2341567,Consumer Discretionary,Diversified Commercial Services
ADTN,ADTRAN Holdings Inc. Common Stock,United States,1994,195369,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,United States,2020,2428114,Health Care,Biotechnology: Pharmaceutical Preparations
ADUR,Aduro Clean Technologies Inc. Common Stock,Canada,,55723,,
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,63882,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,184116,Consumer Discretionary,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,196069,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,United States,2019,18638,Consumer Discretionary,Business Services
ADX,Adams Diversified Equity Fund Inc.,United States,,100021,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,,4553,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,United States,1980,1518,Energy,Oil Refining/Marketing
AEE,Ameren Corporation Common Stock,United States,,586666,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,United States,,54127,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,United States,2019,75047,,
AEG,Aegon Ltd. New York Registry Shares,Netherlands,,2666779,Finance,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,China,,195108,Industrials,Building Materials
AEHR,Aehr Test Systems Common Stock,United States,1997,361793,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),United States,2020,24307,Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,104277,Technology,Industrial Machinery/Components
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,720675,Basic Materials,Precious Metals
AEMD,Aethlon Medical Inc. Common Stock,United States,,59955,Health Care,Medical/Dental Instruments
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,United States,,54286,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,United States,,147832,Consumer Discretionary,Durable Goods
AEO,American Eagle Outfitters Inc. Common Stock,United States,,3704803,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma Inc. Class A Common Stock,United States,,112079,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company Inc. Common Stock,United States,,1260473,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,2006,475766,Consumer Discretionary,Diversified Commercial Services
AERT,Aeries Technology Inc. Class A Ordinary Share,United States,2021,34055,Consumer Discretionary,Professional Services
AES,The AES Corporation Common Stock,United States,,7962818,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,United States,2023,701170,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,Aeva Technologies Inc. Common Stock,United States,2020,290644,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,AudioEye Inc. Common Stock,United States,,79696,Technology,Computer Software: Prepackaged Software
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,2002,41343,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,2017,1548,Finance,Banks
AFCG,Advanced Flower Capital Inc. Common Stock,United States,2021,106030,Finance,Real Estate
AFG,American Financial Group Inc. Common Stock,United States,,190749,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,2019,5181,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,2019,2097,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,2020,5872,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,2020,3676,Finance,Property-Casualty Insurers
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,United States,2024,221,,
AFJKR,Aimei Health Technology Co. Ltd Right,United States,2024,400,,
AFL,AFLAC Incorporated Common Stock,United States,,1307213,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,Germany,2014,102634,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,Gibraltar,,3243,Consumer Staples,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,5065291,Finance,Finance: Consumer Services
AFYA,Afya Limited Class A Common Shares,Brazil,2019,71535,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,,5105129,Basic Materials,Precious Metals
AGAE,Allied Gaming & Entertainment Inc. Common Stock,United States,2017,8808,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGCO,AGCO Corporation Common Stock,United States,,463236,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,2006,222497,Finance,Trusts Except Educational Religious and Charitable
AGEN,Agenus Inc. Common Stock,United States,2000,248788,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,United States,2021,277681,Consumer Staples,Farming/Seeds/Milling
AGI,Alamos Gold Inc. Class A Common Shares,Canada,2015,1082338,Basic Materials,Precious Metals
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013,237612,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,United States,2021,2835811,Health Care,Misc Health and Biotechnology Services
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,,28079,Finance,Finance Companies
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States,,1235,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States,,1609,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States,,2338,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,United States,,2568,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,2018,19647,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,United States,2008,9916554,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,United States,,9307,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,36986,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,,151803,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,190597,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,217812,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,2004,124634,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,United States,2015,271429,Utilities,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Canada,2021,10450001,Industrials,Metal Fabrications
AGRO,Adecoagro S.A. Common Shares,Luxembourg,2011,273184,Consumer Staples,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,United States,2018,199649,Consumer Discretionary,Miscellaneous manufacturing industries
AGX,Argan Inc. Common Stock,United States,,122771,Consumer Discretionary,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),United States,,83263,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,United States,2018,486669,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,China,2017,21554,Consumer Discretionary,Business Services
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,453971,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,53527,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda,,68972,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,35472,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,49072,,
AHR,American Healthcare REIT Inc. Common Stock,United States,2024,926344,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,United States,2003,40128,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,1065,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,1485,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,3278,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,1511,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,2209,,
AI,C3.ai Inc. Class A Common Stock,United States,2020,5538458,Technology,Computer Software: Prepackaged Software
AIEV,Thunder Power Holdings Inc. Common Stock,United States,2022,122566853,Consumer Discretionary,Auto Manufacturing
AIFF,Firefly Neuroscience Inc. Common Stock,United States,,137068,Technology,Computer Software: Prepackaged Software
AIFU,AIX Inc. American Depositary Shares,China,2007,767902,Finance,Specialty Insurers
AIG,American International Group Inc. New Common Stock,United States,,1939722,Finance,Life Insurance
AIHS,Senmiao Technology Limited Common Stock,China,2018,3318,Finance,Finance: Consumer Services
AILE,iLearningEngines Inc. Common Stock,United States,2021,180671,Technology,Computer Software: Prepackaged Software
AILEW,iLearningEngines Inc. Warrant,United States,2021,255,Technology,Computer Software: Prepackaged Software
AIM,AIM ImmunoTech Inc. Common Stock,United States,1997,183801,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMAU,Aimfinity Investment Corp. I Unit,United States,2022,113,Finance,Blank Checks
AIMAW,Aimfinity Investment Corp. I Warrant,United States,2022,7,Finance,Blank Checks
AIMD,Ainos Inc. Common Stock,United States,,93861,Health Care,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,United States,,7,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,United States,,142315,Consumer Discretionary,Textiles
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,,2019,66524,Finance,Finance/Investors Services
AIOT,PowerFleet Inc. Common Stock,United States,,576951,Telecommunications,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,United States,2021,86097,Technology,Semiconductors
AIR,AAR Corp. Common Stock,United States,,110286,Industrials,Aerospace
AIRE,reAlpha Tech Corp. Common Stock,United States,,36069,Finance,Real Estate
AIRG,Airgain Inc. Common Stock,United States,2016,11219,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,United States,,38714,Industrials,Military/Government/Technical
AIRJ,AirJoule Technologies Corporation Class A Common Stock,United States,2022,41557,Industrials,Industrial Machinery/Components
AIRJW,AirJoule Technologies Corporation Warrant,United States,2022,31651,Industrials,Industrial Machinery/Components
AIRS,AirSculpt Technologies Inc. Common Stock,United States,2021,72278,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,United States,,1657,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,,217,Consumer Discretionary,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,United States,2021,2919543,Technology,Computer Software: Prepackaged Software
AISPW,Airship AI Holdings Inc. Warrants,United States,2021,263562,Technology,Computer Software: Prepackaged Software
AIT,Applied Industrial Technologies Inc. Common Stock,United States,,132858,Consumer Discretionary,Industrial Specialties
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,United States,2024,80527,,
AITRR,AI TRANSPORTATION ACQUISITION CORP Right,United States,2024,562,,
AIV,Apartment Investment and Management Company Common Stock,United States,1994,380136,Real Estate,Real Estate Investment Trusts
AIXI,XIAO-I Corporation American Depositary Shares,China,2023,45621,Technology,Computer Software: Prepackaged Software
AIZ,Assurant Inc. Common Stock,United States,2004,231202,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,2020,30762,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,United States,,811920,Finance,Specialty Insurers
AJX,Great Ajax Corp. Common Stock,United States,2015,112291,Real Estate,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,,2021,4336,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,830729,Consumer Discretionary,Business Services
AKAN,Akanda Corp. Common Shares,United Kingdom,2022,97360,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,2131533,Health Care,Biotechnology: Pharmaceutical Preparations
AKO/A,Embotelladora Andina S.A.,Chile,,591,,
AKO/B,Embotelladora Andina S.A.,Chile,,5743,,
AKR,Acadia Realty Trust Common Stock,United States,,734203,Real Estate,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,228633,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologies Inc. Common Stock,United States,,7501029,Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADS,United Kingdom,,58326,Health Care,Biotechnology: Pharmaceutical Preparations
AKYA,Akoya BioSciences Inc. Common Stock,United States,2021,39272,Industrials,Biotechnology: Laboratory Analytical Instruments
AL,Air Lease Corporation Class A Common Stock,United States,2011,256940,Consumer Discretionary,Diversified Commercial Services
ALAB,Astera Labs Inc. Common Stock,United States,2024,1914759,Technology,Semiconductors
ALAR,Alarum Technologies Ltd. American Depositary Share,Israel,2018,119752,Technology,Computer Software: Prepackaged Software
ALB,Albemarle Corporation Common Stock,United States,,748035,Industrials,Major Chemicals
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,United States,,428826,,
ALBT,Avalon GloboCare Corp. Common Stock,United States,,37761,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALC,Alcon Inc. Ordinary Shares,Switzerland,2019,364283,Health Care,Ophthalmic Goods
ALCE,Alternus Clean Energy Inc. Class A Common Stock,United States,2022,30891,Utilities,Power Generation
ALCO,Alico Inc. Common Stock,United States,,22164,,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,United States,2023,2,Finance,Blank Checks
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,United States,2023,2500,Finance,Blank Checks
ALDFU,Aldel Financial II Inc. Units,United States,2024,109349,Finance,Blank Checks
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,2014,229945,Health Care,Biotechnology: Pharmaceutical Preparations
ALE,Allete Inc.,United States,,138768,Utilities,Power Generation
ALEC,Alector Inc. Common Stock,United States,2019,2735183,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,,274941,Real Estate,Real Estate Investment Trusts
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,United States,2024,4479,,
ALFUU,Centurion Acquisition Corp. Unit,United States,2024,569,,
ALFUW,Centurion Acquisition Corp. Warrant,United States,2024,3817,Finance,Blank Checks
ALG,Alamo Group Inc. Common Stock,United States,,44094,Industrials,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,United States,2020,591333,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,2001,307117,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,United States,2020,395948,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Allegiant Travel Company Common Stock,United States,2006,167553,Consumer Discretionary,Air Freight/Delivery Services
