Symbol,Name,Country,IPO Year,Volume,Sector,Industry
EWCZ,European Wax Center Inc. Class A Common Stock,United States,2021,1051785,Consumer Discretionary,Other Consumer Services
EWTX,Edgewise Therapeutics Inc. Common Stock,United States,2021,375637,Health Care,Biotechnology: Pharmaceutical Preparations
EXAS,Exact Sciences Corporation Common Stock,United States,2001,1254721,Health Care,Medical Specialities
EXC,Exelon Corporation Common Stock,United States,,2407363,Utilities,Power Generation
EXE,Expand Energy Corporation Common Stock,United States,,1791894,Energy,Oil & Gas Production
EXEEL,Expand Energy Corporation Class C Warrants,United States,,100959,Energy,Oil & Gas Production
EXEEW,Expand Energy Corporation Class A Warrants,United States,,102,Energy,Oil & Gas Production
EXEL,Exelixis Inc. Common Stock,United States,2000,1691826,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXFY,Expensify Inc. Class A Common Stock,United States,2021,280254,Technology,Computer Software: Prepackaged Software
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,United States,2007,342769,Finance,Finance Companies
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),Canada,,2738879,Basic Materials,Precious Metals
EXLS,ExlService Holdings Inc. Common Stock,United States,2006,376951,Consumer Discretionary,Business Services
EXP,Eagle Materials Inc Common Stock,United States,,117444,Industrials,Building Materials
EXPD,Expeditors International of Washington Inc. Common Stock,United States,,427470,Consumer Discretionary,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,United States,,695073,Consumer Discretionary,Transportation Services
EXPI,eXp World Holdings Inc. Common Stock,United States,,427878,Finance,Real Estate
EXPO,Exponent Inc. Common Stock,United States,,145256,Consumer Discretionary,Professional Services
EXR,Extra Space Storage Inc Common Stock,United States,2004,1273970,Real Estate,Real Estate Investment Trusts
EXTO,Almacenes Exito S.A. American Depositary Share each representing eight (8) Common Shares,,2023,22367,Consumer Discretionary,Department/Specialty Retail Stores
EXTR,Extreme Networks Inc. Common Stock,United States,1999,444667,Telecommunications,Computer Communications Equipment
EYE,National Vision Holdings Inc. Common Stock,United States,2017,1096782,Health Care,Ophthalmic Goods
EYEN,Eyenovia Inc. Common Stock,United States,2018,5536575,Health Care,Biotechnology: Pharmaceutical Preparations
EYPT,EyePoint Pharmaceuticals Inc. Common Stock,United States,,376941,Industrials,Biotechnology: Laboratory Analytical Instruments
EZFL,EzFill Holdings Inc. Common Stock,United States,2021,9222,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
EZGO,EZGO Technologies Ltd. Ordinary Shares,China,2021,7871,Consumer Discretionary,Motor Vehicles
EZPW,EZCORP Inc. Class A Non Voting Common Stock,United States,1991,228377,Consumer Discretionary,Other Specialty Stores
F,Ford Motor Company Common Stock,United States,,28886924,Consumer Discretionary,Auto Manufacturing
F^B,Ford Motor Company 6.20% Notes due June 1 2059,United States,,325852,,
F^C,Ford Motor Company 6% Notes due December 1 2059,United States,,281060,,
F^D,Ford Motor Company 6.500% Notes due August 15 2062,United States,,212998,,
FA,First Advantage Corporation Common Stock,United States,2021,454602,Consumer Discretionary,Business Services
FAAS,DigiAsia Corp. Ordinary Shares,United States,2021,165064,Technology,Computer Software: Prepackaged Software
FAASW,DigiAsia Corp. Warrant,United States,2021,475,Technology,Computer Software: Prepackaged Software
FACTU,FACT II Acquisition Corp. Unit,United States,2024,352964,Finance,Blank Checks
FAF,First American Corporation (New) Common Stock,United States,,323515,Finance,Specialty Insurers
FAMI,Farmmi Inc. Ordinary Shares,China,2018,160464,Consumer Staples,Packaged Foods
FANG,Diamondback Energy Inc. Common Stock,United States,2012,820241,Energy,Oil & Gas Production
FARM,Farmer Brothers Company Common Stock,United States,,73090,Consumer Staples,Packaged Foods
FARO,FARO Technologies Inc. Common Stock,United States,1997,149075,Industrials,Industrial Machinery/Components
FAST,Fastenal Company Common Stock,United States,1987,1346788,Consumer Discretionary,RETAIL: Building Materials
FAT,FAT Brands Inc. Class A Common Stock,United States,2017,20943,Consumer Discretionary,Restaurants
FATBB,FAT Brands Inc. Class B Common Stock,United States,,1193,Consumer Discretionary,Restaurants
FATBP,FAT Brands Inc. 8.25% Series B Cumulative Preferred Stock,United States,,20090,Consumer Discretionary,Restaurants
FATBW,FAT Brands Inc. Warrant,United States,,510,Consumer Discretionary,Restaurants
FATE,Fate Therapeutics Inc. Common Stock,United States,2013,2463347,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,United States,1986,121377,Finance,Investment Managers
FBIN,Fortune Brands Innovations Inc. Common Stock,United States,,510466,Basic Materials,Forest Products
FBIO,Fortress Biotech Inc. Common Stock,United States,,1177106,Health Care,Biotechnology: Pharmaceutical Preparations
FBIOP,Fortress Biotech Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,19906,Health Care,Biotechnology: Pharmaceutical Preparations
FBIZ,First Business Financial Services Inc. Common Stock,United States,,13853,Finance,Major Banks
FBK,FB Financial Corporation Common Stock,United States,2016,89041,Finance,Major Banks
FBLA,FB Bancorp Inc. Common Stock,United States,2024,37147,Finance,Banks
FBLG,FibroBiologics Inc. Common Stock,United States,,62478,Health Care,Biotechnology: Pharmaceutical Preparations
FBMS,First Bancshares Inc.,United States,,72161,Finance,Major Banks
FBNC,First Bancorp Common Stock,United States,1987,110358,Finance,Major Banks
FBP,First BanCorp. New Common Stock,Puerto Rico,,669051,Finance,Major Banks
FBRT,Franklin BSP Realty Trust Inc. Common Stock,United States,2021,257989,Real Estate,Real Estate Investment Trusts
FBRT^E,Franklin BSP Realty Trust Inc. 7.50% Series E Cumulative Redeemable Preferred Stock,United States,,96395,,
FBRX,Forte Biosciences Inc. Common Stock,United States,2017,163318,Health Care,Biotechnology: Pharmaceutical Preparations
FBYD,Falcon's Beyond Global Inc. Class A Common Stock,United States,,1516,Consumer Discretionary,Services-Misc. Amusement & Recreation
FBYDW,Falcon's Beyond Global Inc. Warrants,United States,,901,Consumer Discretionary,Services-Misc. Amusement & Recreation
FC,Franklin Covey Company Common Stock,United States,,26009,Consumer Discretionary,Other Consumer Services
FCAP,First Capital Inc. Common Stock,United States,,614,Finance,Savings Institutions
FCBC,First Community Bankshares Inc. (VA) Common Stock,United States,,18976,Finance,Major Banks
FCCO,First Community Corporation Common Stock,United States,,9906,Finance,Major Banks
FCEL,FuelCell Energy Inc. Common Stock,United States,,1585747,Energy,Industrial Machinery/Components
FCF,First Commonwealth Financial Corporation Common Stock,United States,,388871,Finance,Major Banks
FCFS,FirstCash Holdings Inc. Common Stock,United States,1991,132907,Consumer Discretionary,Other Specialty Stores
FCN,FTI Consulting Inc. Common Stock,United States,1999,75974,Consumer Discretionary,Professional Services
FCNCA,First Citizens BancShares Inc. Class A Common Stock,United States,,67735,Finance,Major Banks
